2023-08-10 15:54:33	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:54:49	ERROR	service/client.go:64	share.ac.cn/services/websocket/service.(*Client).read	读取客户端数据错误:127.0.0.1:54965websocket: close 1001 (going away)
2023-08-10 15:54:49	ERROR	service/client.go:64	share.ac.cn/services/websocket/service.(*Client).read	读取客户端数据错误:127.0.0.1:64898websocket: close 1001 (going away)
2023-08-10 15:54:49	ERROR	service/client.go:64	share.ac.cn/services/websocket/service.(*Client).read	读取客户端数据错误:127.0.0.1:55991websocket: close 1001 (going away)
2023-08-10 15:54:49	ERROR	service/client.go:64	share.ac.cn/services/websocket/service.(*Client).read	读取客户端数据错误:127.0.0.1:53368websocket: close 1001 (going away)
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [9fb0a40e-cb7e-4f8d-b111-2415ee2f32a4] write message err: websocket: close sent
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [41a35e2a-a488-4ab2-8734-5db3998c3894] write message err: websocket: close sent
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [e893ca76-50dc-4df0-90a5-aa10a0805e99] write message err: websocket: close sent
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [41a35e2a-a488-4ab2-8734-5db3998c3894] write message err: websocket: close sent
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [e893ca76-50dc-4df0-90a5-aa10a0805e99] write message err: websocket: close sent
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [41a35e2a-a488-4ab2-8734-5db3998c3894] write message err: websocket: close sent
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [41a35e2a-a488-4ab2-8734-5db3998c3894] write message err: websocket: close sent
2023-08-10 15:54:49	ERROR	service/client.go:99	share.ac.cn/services/websocket/service.(*Client).write	client [41a35e2a-a488-4ab2-8734-5db3998c3894] write message err: websocket: close sent
2023-08-10 15:55:03	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:55:33	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:56:03	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:56:33	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:57:03	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:57:33	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:57:52	ERROR	service/client.go:64	share.ac.cn/services/websocket/service.(*Client).read	读取客户端数据错误:127.0.0.1:55997websocket: close 1001 (going away)
2023-08-10 15:58:03	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
2023-08-10 15:58:33	ERROR	task/file_clean_task.go:35	share.ac.cn/services/task.cleanExpireFile	删除文件出错：文件ID：27c8b4608f9e225f7a1ab9919016978e，错误信息文件不存在
